evid,latitude,longitude,depth,time,mag
210,35.9240,-117.7095,6.30,2000-12-13T18:30:01.230000,1.0
211,35.7238,-117.5415,5.48,2000-12-13T18:31:01.080000,1.0
212,35.9694,-117.6578,4.44,2000-12-13T18:32:01.100000,1.0
213,35.9157,-117.7110,5.09,2000-12-13T18:33:01.150000,1.0
214,35.5946,-117.6033,3.91,2000-12-13T18:34:01.030000,1.0
215,35.5787,-117.5893,3.66,2000-12-13T18:35:01.120000,1.0
216,35.9618,-117.6945,5.14,2000-12-13T18:36:01.120000,1.0
217,36.0485,-117.8359,3.70,2000-12-13T18:37:01.200000,1.0
218,35.9318,-117.6922,5.33,2000-12-13T18:38:01.110000,1.0
219,35.7168,-117.5413,4.41,2000-12-13T18:39:01.080000,1.0
220,35.6587,-117.4900,3.62,2000-12-13T18:40:01.040000,1.0
221,35.9493,-117.6793,4.80,2000-12-13T18:41:01.150000,1.0
222,35.9064,-117.7391,9.96,2000-12-13T18:42:01.110000,1.0
223,35.9055,-117.6728,4.89,2000-12-13T18:43:01.210000,1.0
224,36.0577,-117.8408,3.52,2000-12-13T18:44:01.020000,1.0
225,36.0625,-117.8328,4.98,2000-12-13T18:45:01.200000,1.0
226,35.6823,-117.5276,6.13,2000-12-13T18:46:01.170000,1.0
227,35.8836,-117.6842,8.11,2000-12-13T18:47:01.110000,1.0
228,35.9102,-117.7152,6.15,2000-12-13T18:48:01.180000,1.0
229,36.0466,-117.8378,3.98,2000-12-13T18:49:01.150000,1.0
230,35.9225,-117.6984,7.03,2000-12-13T18:50:01.210000,1.0
231,35.6111,-117.4724,4.55,2000-12-13T18:51:01.160000,1.0
232,35.5882,-117.3661,5.50,2000-12-13T18:52:01.280000,1.0
233,35.5744,-117.6210,4.63,2000-12-13T18:53:01.070000,1.0
234,35.9034,-117.6882,8.58,2000-12-13T18:54:01.100000,1.0
235,35.6897,-117.4871,0.71,2000-12-13T18:55:00.980000,1.0
236,35.6056,-117.5769,4.30,2000-12-13T18:56:01.130000,1.0
237,35.6104,-117.4347,5.86,2000-12-13T18:57:01.060000,1.0
238,35.8691,-117.6972,11.49,2000-12-13T18:58:01.050000,1.0
239,35.8934,-117.6599,5.11,2000-12-13T18:59:01.230000,1.0
240,35.6723,-117.5243,6.38,2000-12-13T19:00:01.200000,1.0
241,35.7759,-117.5667,6.52,2000-12-13T19:01:01.090000,1.0
242,35.9894,-117.6619,3.95,2000-12-13T19:02:01.140000,1.0
243,35.6378,-117.4433,5.14,2000-12-13T19:03:01.100000,1.0
244,35.9598,-117.6936,5.26,2000-12-13T19:04:01.200000,1.0
245,35.9620,-117.7084,5.44,2000-12-13T19:05:01.120000,1.0
246,35.9170,-117.7002,5.66,2000-12-13T19:06:01.110000,1.0
247,35.9692,-117.6482,4.50,2000-12-13T19:07:01.090000,1.0
248,35.9288,-117.6898,5.71,2000-12-13T19:08:01.060000,1.0
249,35.6812,-117.5133,6.53,2000-12-13T19:09:01.250000,1.0
250,35.6716,-117.4833,4.05,2000-12-13T19:10:00.980000,1.0
251,35.6972,-117.5326,7.19,2000-12-13T19:11:01.130000,1.0
252,35.8954,-117.7164,8.38,2000-12-13T19:12:01.170000,1.0
