velest,NonLinLoc,hypoinverse,hypoDD,growclust
0.000999999999999,0.672938,1.292,1.158,1.333
1.638,1.771094,1.025,0.551,0.243
1.267,4.351125,0.442,0.393,0.319
1.096,0.456938,0.276,0.264,0.731
1.628,0.552672,0.504,0.36,1.238
1.182,0.875484,0.544,1.137,0.101
0.092,0.954406,0.093,0.36,0.309
0.312,2.34325,0.383,0.293,0.24
0.97,0.375781,0.29,1.045,0.221
0.18,0.217109,1.275,0.038,1.079
0.289,0.334031,0.728,1.739,1.439
0.259,0.064156,0.156,0.035,0.489
0.752,1.618719,0.208,1.196,0.724
0.92,4.998312,1.833,0.846,0.25
1.035,0.130812,0.767,1.103,0.459
0.882,2.125656,0.223,0.096,2.056
0.628,6.563625,0.548,0.328,0.863
0.564,0.241781,0.794,0.107,1.025
0.673,0.360281,0.812,0.072,0.902
0.772,2.903125,0.955,1.258,1.612
0.111,0.531594,0.892,1.62,2.002
0.224,0.533688,0.856,1.505,0.195
0.63,0.527156,0.707,1.037,0.507
0.793,0.580719,0.694,0.051,0.141
1.259,1.221125,1.202,0.541,0.852
0.396,1.345719,1.769,0.066,0.745
0.502,3.620312,0.6,0.046,1.916
0.918,0.899922,0.63,0.46,0.368
1.895,0.423969,0.266,0.403,1.27
0.199,1.945938,1.465,0.59,1.08
0.769,0.607594,0.544,0.875,0.311
1.471,0.184359,0.251,0.096,0.408
0.445,3.649812,1.292,0.865,0.167
0.616,0.844438,0.821,1.228,0.414
1.451,0.414938,0.496,0.174,0.691
1.385,2.271812,1.849,0.006,1.542
0.683,2.248875,1.693,1.545,0.198
0.216,8.301625,0.494,0.685,1.295
0.805,3.030562,0.004,0.793,0.839
0.464,0.915469,0.42,0.398,0.35
0.222,0.094469,0.604,0.355,0.845
0.658,0.153594,1.215,1.449,1.612
1.082,0.689688,0.715,0.516,0.89
0.832,7.990375,2.416,0.488,0.711
0.862,0.194594,0.159,0.248,0.503
0.281,0.270781,0.02,0.193,1.399
0.992,0.469156,0.869,1.044,0.195
1.17,1.452812,0.665,0.198,0.329
0.391,0.646328,0.785,0.056,0.076
1.054,2.040406,1.049,0.234,1.064
2.646,3.220375,0.951,1.405,0.514
2.285,0.414594,0.386,1.085,0.44
0.095,0.225734,0.218,0.07,0.138
0.763,0.248266,0.511,1.211,1.347
1.42,0.311062,0.443,0.035,1.621
0.917,0.516156,0.051,0.041,0.516
1.466,1.490219,0.756,0.558,0.575
0.203,0.174641,0.358,0.184,0.906
0.824,3.380219,1.956,0.179,0.701
1.283,1.152141,1.478,0.269,0.457
0.141,0.728484,0.757,1.372,1.297
1.438,0.193688,0.926,1.404,0.75
0.349,0.844375,0.545,0.843,0.158
0.568,1.334188,1.263,0.012,1.191
2.018,1.420094,0.101,0.349,0.31
0.932,0.811984,1.558,0.45,1.415
0.019,0.295281,0.137,0.006,0.151
0.254,0.757062,0.928,0.751,0.942
0.9,1.159812,1.077,0.064,1.266
1.003,1.258031,0.956,1.596,1.622
0.179,2.098781,1.698,1.672,1.533
1.08,1.055906,0.742,1.08,0.345
0.447,0.198703,0.128,0.204,0.364
0.869,1.266906,0.332,0.961,1.814
0.564,0.579219,0.58,0.221,1.571
0.253,0.186719,0.49,0.083,2.334
0.551,1.607875,0.439,0.43,0.288
0.269,0.103031,0.011,0.379,0.402
0.068,3.651375,0.762,0.846,0.617
1.414,0.947812,1.04,1.179,0.538
