evid,latitude,longitude,depth,time,mag
183,35.6962,-117.5011,5.45,2000-12-13T18:03:00.980000,1.0
184,35.9753,-117.6589,3.92,2000-12-13T18:04:00.850000,1.0
185,35.9382,-117.6771,4.77,2000-12-13T18:05:00.940000,1.0
186,35.8896,-117.6854,8.13,2000-12-13T18:06:00.970000,1.0
187,35.9534,-117.6891,4.37,2000-12-13T18:07:00.930000,1.0
188,35.9425,-117.6947,4.83,2000-12-13T18:08:00.950000,1.0
189,35.9199,-117.7358,7.15,2000-12-13T18:09:01.000000,1.0
190,35.7211,-117.5489,5.34,2000-12-13T18:10:00.990000,1.0
191,35.6049,-117.5775,3.50,2000-12-13T18:11:00.910000,1.0
192,35.9018,-117.6799,6.05,2000-12-13T18:12:01.040000,1.0
193,35.8825,-117.6874,7.33,2000-12-13T18:13:00.990000,1.0
194,35.9763,-117.6559,4.89,2000-12-13T18:14:00.910000,1.0
195,35.6846,-117.5112,6.47,2000-12-13T18:15:01.080000,1.0
196,35.6716,-117.4604,6.20,2000-12-13T18:16:01.020000,1.0
197,35.6316,-117.4715,4.88,2000-12-13T18:17:01.050000,1.0
198,35.6734,-117.5080,6.58,2000-12-13T18:18:01.090000,1.0
199,35.8943,-117.6781,7.97,2000-12-13T18:19:01.000000,1.0
200,36.0512,-117.8460,3.38,2000-12-13T18:20:00.970000,1.0
201,35.6592,-117.4832,2.50,2000-12-13T18:21:00.960000,1.0
202,35.6603,-117.4990,3.75,2000-12-13T18:22:00.970000,1.0
203,35.9014,-117.6743,5.50,2000-12-13T18:23:00.990000,1.0
204,35.7063,-117.4951,4.11,2000-12-13T18:24:00.880000,1.0
205,35.9115,-117.7219,5.41,2000-12-13T18:25:00.960000,1.0
206,35.9000,-117.6726,4.93,2000-12-13T18:26:00.990000,1.0
207,35.9813,-117.6606,3.52,2000-12-13T18:27:00.830000,1.0
208,35.7568,-117.5668,5.95,2000-12-13T18:28:01.030000,1.0
209,35.9278,-117.7140,4.66,2000-12-13T18:29:01.030000,1.0
210,35.9254,-117.7169,5.40,2000-12-13T18:30:01.050000,1.0
211,35.7255,-117.5433,5.42,2000-12-13T18:31:01.000000,1.0
212,35.9737,-117.6602,3.65,2000-12-13T18:32:00.880000,1.0
213,35.9211,-117.7148,4.35,2000-12-13T18:33:00.960000,1.0
214,35.5942,-117.6050,3.78,2000-12-13T18:34:00.910000,1.0
215,35.5780,-117.5924,3.41,2000-12-13T18:35:01.010000,1.0
216,35.9679,-117.6975,4.58,2000-12-13T18:36:00.930000,1.0
217,36.0530,-117.8308,3.29,2000-12-13T18:37:01.050000,1.0
218,35.9359,-117.6969,4.70,2000-12-13T18:38:00.930000,1.0
219,35.7195,-117.5426,4.16,2000-12-13T18:39:00.990000,1.0
220,35.6579,-117.4898,3.44,2000-12-13T18:40:00.960000,1.0
221,35.9566,-117.6799,4.02,2000-12-13T18:41:00.930000,1.0
222,35.9116,-117.7393,8.81,2000-12-13T18:42:00.950000,1.0
223,35.9105,-117.6744,4.16,2000-12-13T18:43:01.040000,1.0
224,36.0641,-117.8301,2.65,2000-12-13T18:44:00.880000,1.0
225,36.0619,-117.8343,3.37,2000-12-13T18:45:01.000000,1.0
226,35.6833,-117.5293,6.18,2000-12-13T18:46:01.090000,1.0
227,35.8863,-117.6916,7.55,2000-12-13T18:47:00.980000,1.0
228,35.9186,-117.7168,5.78,2000-12-13T18:48:00.970000,1.0
229,36.0499,-117.8336,3.19,2000-12-13T18:49:00.970000,1.0
230,35.9275,-117.7049,6.55,2000-12-13T18:50:00.990000,1.0
231,35.6100,-117.4708,4.47,2000-12-13T18:51:01.060000,1.0
232,35.5850,-117.3612,5.89,2000-12-13T18:52:01.140000,1.0
233,35.5741,-117.6238,4.39,2000-12-13T18:53:00.970000,1.0
234,35.9076,-117.6895,8.30,2000-12-13T18:54:00.960000,1.0
235,35.6910,-117.4858,0.50,2000-12-13T18:55:00.870000,1.0
236,35.6057,-117.5811,4.17,2000-12-13T18:56:01.000000,1.0
237,35.6105,-117.4362,6.02,2000-12-13T18:57:01.000000,1.0
238,35.8738,-117.7018,10.47,2000-12-13T18:58:00.910000,1.0
239,35.8948,-117.6638,4.19,2000-12-13T18:59:01.080000,1.0
240,35.6736,-117.5253,6.84,2000-12-13T19:00:01.110000,1.0
241,35.7782,-117.5700,6.55,2000-12-13T19:01:01.010000,1.0
242,35.9924,-117.6616,3.17,2000-12-13T19:02:00.960000,1.0
243,35.6378,-117.4409,5.13,2000-12-13T19:03:01.010000,1.0
244,35.9668,-117.6946,4.75,2000-12-13T19:04:01.010000,1.0
245,35.9683,-117.7068,4.60,2000-12-13T19:05:00.940000,1.0
246,35.9239,-117.7008,5.14,2000-12-13T19:06:00.930000,1.0
247,35.9734,-117.6533,3.67,2000-12-13T19:07:00.880000,1.0
248,35.9324,-117.6932,5.07,2000-12-13T19:08:00.900000,1.0
249,35.6841,-117.5128,6.56,2000-12-13T19:09:01.130000,1.0
250,35.6717,-117.4803,4.37,2000-12-13T19:10:00.920000,1.0
251,35.7000,-117.5310,6.41,2000-12-13T19:11:01.020000,1.0
252,35.8981,-117.7230,7.42,2000-12-13T19:12:01.010000,1.0
253,35.6895,-117.4637,6.48,2000-12-13T19:13:01.000000,1.0
254,35.6797,-117.4739,4.16,2000-12-13T19:14:00.940000,1.0
255,35.5959,-117.3999,8.18,2000-12-13T19:15:01.000000,1.0
256,35.9455,-117.6711,4.93,2000-12-13T19:16:00.940000,1.0
257,35.6844,-117.4936,2.24,2000-12-13T19:17:00.970000,1.0
258,35.7469,-117.5533,2.30,2000-12-13T19:18:00.900000,1.0
259,35.7401,-117.5261,5.14,2000-12-13T19:19:00.900000,1.0
260,35.9121,-117.6669,4.88,2000-12-13T19:20:00.940000,1.0
261,35.9308,-117.7217,5.06,2000-12-13T19:21:01.020000,1.0
262,35.6188,-117.4106,4.35,2000-12-13T19:22:01.040000,1.0
263,35.9237,-117.7297,7.30,2000-12-13T19:23:00.960000,1.0
264,35.8898,-117.7040,5.18,2000-12-13T19:24:00.970000,1.0
265,35.6060,-117.4139,5.63,2000-12-13T19:25:01.060000,1.0
266,35.7080,-117.5014,4.90,2000-12-13T19:26:00.900000,1.0
267,36.0615,-117.8422,3.56,2000-12-13T19:27:01.000000,1.0
268,35.7366,-117.5363,5.96,2000-12-13T19:28:00.980000,1.0
269,35.6320,-117.4259,4.24,2000-12-13T19:29:01.060000,1.0
270,35.9325,-117.7206,3.80,2000-12-13T19:30:00.890000,1.0
271,35.6487,-117.4286,3.69,2000-12-13T19:31:00.980000,1.0
272,35.6840,-117.5217,6.67,2000-12-13T19:32:01.050000,1.0
273,35.6634,-117.4791,5.57,2000-12-13T19:33:01.000000,1.0
274,35.6580,-117.4597,1.06,2000-12-13T19:34:00.970000,1.0
275,35.6481,-117.4452,2.78,2000-12-13T19:35:00.980000,1.0
276,35.9335,-117.7051,4.46,2000-12-13T19:36:00.980000,1.0
277,35.9750,-117.6589,4.04,2000-12-13T19:37:00.890000,1.0
278,35.6165,-117.4132,4.38,2000-12-13T19:38:00.990000,1.0
