lonR,latR,depR
-117.50621,35.7076,7.287
-117.59274,35.6012,4.672
-117.5641,35.73954,4.298
-117.55566,35.74694,4.688
-117.55658,35.73985,4.729
-117.5213,35.71695,5.034
-117.5788,35.60534,4.617
-117.58946,35.59725,4.474
-117.60966,35.57513,5.85
-117.54371,35.7375,5.192
-117.47181,35.66872,7.593
-117.60807,35.58589,7.4
-117.57888,35.60676,5.64
-117.5138,35.70491,7.531
-117.5968,35.60804,5.911
-117.53415,35.74385,6.418
-117.60187,35.57274,6.0
-117.6042,35.57028,5.866
-117.58641,35.62515,6.536
-117.60251,35.57166,5.924
-117.59995,35.5989,4.611
-117.52186,35.71999,5.284
-117.56274,35.74495,3.648
-117.59836,35.59993,4.597
-117.49734,35.68353,5.738
-117.46648,35.66899,7.732
-117.49536,35.69134,6.803
-117.47245,35.66449,7.227
-117.5212,35.71885,7.004
-117.58378,35.61386,6.961
-117.56406,35.74793,4.164
-117.62477,35.57229,6.132
-117.53986,35.74052,5.19
-117.61507,35.58332,5.521
-117.49613,35.67957,5.624
-117.59639,35.60675,7.205
-117.4836,35.68269,6.416
-117.50394,35.70062,6.409
-117.47608,35.67917,0.822
-117.54238,35.7173,5.25
-117.58362,35.61162,6.594
-117.4691,35.65835,7.853
-117.47712,35.68428,7.942
-117.61542,35.57622,7.211
-117.48251,35.66949,6.589
-117.50478,35.69992,6.411
-117.47106,35.67506,6.707
-117.54994,35.73158,6.804
-117.48844,35.70265,6.28
-117.50661,35.70699,8.758
-117.52753,35.72149,5.728
-117.55483,35.75058,6.509
-117.55827,35.7431,4.078
-117.53852,35.65732,8.886
-117.5963,35.60305,5.011
-117.62367,35.57788,5.849
-117.62473,35.57234,5.988
-117.62258,35.57535,5.696
-117.51252,35.70722,9.46
-117.55613,35.74806,6.188
-117.48322,35.67406,0.876
-117.52055,35.72101,5.462
-117.57031,35.75993,7.269
-117.59717,35.60068,4.869
-117.51566,35.71658,5.328
-117.59752,35.60159,5.026
-117.60846,35.57973,5.316
-117.59808,35.60262,5.027
-117.53958,35.73867,7.382
-117.51188,35.68452,7.158
-117.5584,35.74349,5.364
-117.57901,35.60766,7.006
-117.48366,35.69236,7.842
-117.49887,35.70358,7.73
-117.72378,35.91279,7.263
-117.50398,35.66497,6.379
-117.51842,35.67113,6.847
-117.58579,35.60698,5.148
-117.59746,35.60205,4.89
-117.56326,35.74704,5.203
-117.59522,35.59917,4.325
-117.48643,35.68401,1.203
-117.62218,35.57428,5.886
-117.61417,35.58417,5.65
-117.61962,35.57633,6.23
-117.58484,35.6149,7.086
-117.57321,35.75916,6.92
-117.62651,35.57492,6.439
-117.48876,35.69532,7.723
-117.52958,35.72227,5.831
-117.58772,35.59297,4.913
-117.50641,35.67458,4.991
-117.54498,35.73977,6.939
-117.5602,35.74448,5.453
-117.51154,35.68374,7.107
-117.50931,35.67303,5.285
-117.49735,35.66152,6.612
-117.61712,35.57754,6.152
-117.61813,35.57654,6.02
-117.62569,35.57603,5.839
-117.55815,35.73915,5.047
-117.5298,35.72246,5.937
-117.59679,35.60342,5.224
-117.60152,35.57257,6.002
-117.4826,35.67467,0.849
-117.52197,35.72104,5.439
-117.47889,35.68498,8.175
-117.46903,35.6694,7.164
-117.59975,35.61998,7.432
-117.49272,35.69675,6.921
-117.59755,35.60268,4.976
-117.55805,35.74115,4.141
-117.58194,35.59977,4.256
-117.62535,35.5762,5.838
-117.55265,35.73905,4.581
-117.58117,35.61946,6.636
-117.57777,35.75377,6.765
-117.56597,35.74868,4.596
-117.56141,35.74982,4.636
-117.56011,35.76622,5.21
-117.56651,35.75115,4.696
-117.5669,35.75763,7.075
-117.56944,35.74745,4.691
-117.57361,35.75503,6.45
-117.57248,35.74243,4.296
-117.57774,35.75253,6.504
-117.56491,35.77173,6.792
-117.55795,35.76253,5.039
-117.5671,35.74943,4.705
-117.57473,35.75729,6.6
-117.56793,35.74425,4.099
-117.57143,35.77276,6.79
-117.56028,35.77356,6.535
-117.56725,35.7582,7.086
-117.57463,35.75937,7.375
-117.56644,35.77079,6.774
-117.57337,35.75372,6.373
-117.55383,35.75632,4.719
-117.57559,35.75369,6.251
-117.49328,35.67877,0.69
-117.56419,35.73985,4.666
-117.56288,35.76407,5.171
-117.56753,35.75729,4.458
-117.59904,35.57057,6.257
-117.59586,35.60149,4.796
-117.57043,35.74308,4.319
-117.56018,35.77416,6.455
-117.56595,35.76097,5.201
-117.48044,35.70015,6.234
-117.5753,35.75251,6.415
-117.57632,35.7518,6.432
-117.55976,35.74243,3.991
-117.56094,35.75068,4.319
-117.5691,35.7565,7.107
-117.48467,35.70659,6.028
-117.56965,35.77289,6.872
-117.50082,35.67937,8.499
-117.58221,35.6102,5.859
-117.56068,35.77782,6.563
-117.6246,35.57694,5.819
-117.52089,35.72131,5.329
-117.55924,35.74501,4.145
-117.57651,35.75259,6.421
-117.53613,35.74258,6.665
-117.51857,35.66957,7.769
-117.57467,35.76919,7.937
-117.52672,35.71704,5.499
-117.56764,35.74803,4.433
-117.52894,35.66139,8.703
-117.57107,35.76259,7.271
-117.5757,35.75308,6.235
-117.56653,35.74858,4.527
-117.57195,35.74522,4.397
-117.48193,35.67109,6.603
-117.57199,35.76391,6.773
-117.59632,35.60506,4.676
-117.62038,35.57607,5.731
-117.56598,35.75746,6.827
-117.53589,35.71941,5.55
-117.57537,35.75404,6.363
-117.51287,35.69299,7.445
-117.56063,35.76809,6.571
-117.6199,35.57639,5.741
-117.57595,35.75154,6.232
-117.60824,35.58591,7.37
-117.49208,35.68386,6.281
-117.61917,35.57697,5.813
-117.61927,35.5768,5.689
-117.55518,35.77002,5.954
-117.60387,35.57999,7.101
-117.56724,35.75027,4.737
-117.57657,35.7519,6.409
-117.60837,35.57432,5.346
-117.59674,35.60082,5.27
-117.5599,35.76002,5.154
-117.51139,35.68374,6.979
-117.54222,35.73973,6.935
-117.57413,35.75901,7.134
-117.59494,35.60287,4.784
-117.57525,35.75018,6.294
-117.50931,35.69003,6.472
-117.56707,35.75019,4.788
-117.57496,35.76065,7.094
-117.57579,35.75145,6.238
-117.56939,35.76286,7.063
-117.49437,35.69936,6.861
-117.59532,35.60717,4.817
-117.6182,35.57749,5.735
-117.46867,35.66976,7.031
-117.5602,35.77245,6.666
-117.50716,35.70549,7.054
-117.55879,35.74324,3.842
